
2024/02/05 (20:57:41) | ===> btop++ v.1.3.0
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/05 (20:57:41) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/05 (20:57:57) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/05 (20:58:02) | ===> btop++ v.1.3.0
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/05 (20:58:02) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/05 (20:58:04) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/05 (21:25:49) | ===> btop++ v.1.3.0
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/05 (21:25:49) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/05 (21:25:51) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

